feature_id,family,target,fold,system,name,ensemble,threshold,acc,prec,rec,f1,tn,fp,fn,tp,roc_auc,pr_auc,train_time,infer_time
SkipGram_compact_dim64_win3,SkipGram,S7,3,within_feature,DT+LR,Fast2_Hard,,0.9412884194499952,0.9408629186362265,0.9969096334185849,0.968075748952243,537.0,588.0,29.0,9355.0,,,0.0,0.0014777183532714844
SkipGram_compact_dim64_win3,SkipGram,S7,3,within_feature,DT+LR,Fast2_Soft,0.448821485042572,0.8711580550004758,0.9864308214199177,0.8676470588235294,0.9232339267490646,1013.0,112.0,1242.0,8142.0,0.9311356445960027,0.9841813070124459,0.0,0.02833843231201172
SkipGram_compact_dim64_win3,SkipGram,S7,3,within_feature,DT+LR,Fast2_WeightedSoft,0.45040860772132874,0.8716338376629555,0.9866747425802543,0.8679667519181585,0.9235217415953285,1015.0,110.0,1239.0,8145.0,0.9311274983423321,0.9841856491341419,0.0,0.027065515518188477
SkipGram_compact_dim64_win3,SkipGram,S7,4,single,LR,-,0.40595244616270065,0.9408070041872859,0.9565443934972906,0.978154305200341,0.9672286617492097,707.0,417.0,205.0,9179.0,0.8238572583605621,0.9489497808806151,0.0,0.0009317398071289062
SkipGram_compact_dim64_win3,SkipGram,S7,4,single,KNN,-,0.6000000238418579,0.8706699657403882,0.9838417942843362,0.869458653026428,0.9231204389885161,990.0,134.0,1225.0,8159.0,0.9517933246716606,0.990496585139079,0.0,0.07333087921142578
SkipGram_compact_dim64_win3,SkipGram,S7,4,single,DT,-,0.9717124700546265,0.8325085649029311,0.9858526637777212,0.8242753623188406,0.897852582704585,1013.0,111.0,1649.0,7735.0,0.863847385039425,0.9698382260008495,0.0,0.0004506111145019531
SkipGram_compact_dim64_win3,SkipGram,S7,4,single,RF,-,0.5600000023841858,0.8891320898363152,0.9885863749851385,0.8860826939471441,0.9345321719584153,1028.0,96.0,1069.0,8315.0,0.9696807790499768,0.9950891108370742,0.0,0.04707074165344238
SkipGram_compact_dim64_win3,SkipGram,S7,4,single,LinearSVC,-,0.62512915879488,0.9487057480015226,0.9576736003311601,0.9861466325660699,0.9717015803013598,715.0,409.0,130.0,9254.0,0.9247112807292187,0.9831285316127827,0.0,0.002562999725341797
SkipGram_compact_dim64_win3,SkipGram,S7,4,within_feature,LR+KNN+DT+RF+LinearSVC,All_Hard,,0.8948420251237152,0.9838690824079486,0.8969522591645354,0.9384023635654162,986.0,138.0,967.0,8417.0,,,0.0,0.12441849708557129
SkipGram_compact_dim64_win3,SkipGram,S7,4,within_feature,LR+KNN+DT+RF+LinearSVC,All_Soft,0.399819291383028,0.9165397792158355,0.9887395151097322,0.9169863597612958,0.9515121357881351,1026.0,98.0,779.0,8605.0,0.9733603309032107,0.9932385205535763,0.0,0.15184378623962402
SkipGram_compact_dim64_win3,SkipGram,S7,4,within_feature,LR+KNN+DT+RF+LinearSVC,All_WeightedSoft,0.3994089975953101,0.9141606395127522,0.9883694150161216,0.9146419437340153,0.9500774850564534,1023.0,101.0,801.0,8583.0,0.9739801866127852,0.9933885025619786,0.0,0.15057945251464844
SkipGram_compact_dim64_win3,SkipGram,S7,4,within_feature,RF+KNN,Best2_Hard,,0.8930338789493719,0.9812398042414355,0.8973785166240409,0.9374373817210286,963.0,161.0,963.0,8421.0,,,0.0,0.12045073509216309
SkipGram_compact_dim64_win3,SkipGram,S7,4,within_feature,RF+KNN,Best2_Soft,0.39561375975608826,0.8724781119147317,0.9878699660359049,0.8678601875532822,0.9239845700022691,1024.0,100.0,1240.0,8144.0,0.9703254270917713,0.9953056206186687,0.0,0.13420963287353516
SkipGram_compact_dim64_win3,SkipGram,S7,4,within_feature,RF+KNN,Best2_WeightedSoft,0.3971349895000458,0.8720974495622383,0.9878640776699029,0.8674339300937767,0.9237403540626419,1024.0,100.0,1244.0,8140.0,0.9703797521639014,0.9953121888166342,0.0,0.13485956192016602
SkipGram_compact_dim64_win3,SkipGram,S7,4,within_feature,DT+LR,Fast2_Hard,,0.9413779977160259,0.9527054935976869,0.9831628303495311,0.9676945668135095,666.0,458.0,158.0,9226.0,,,0.0,0.0014312267303466797
SkipGram_compact_dim64_win3,SkipGram,S7,4,within_feature,DT+LR,Fast2_Soft,0.403509259223938,0.8591549295774648,0.9807785888077859,0.8591219096334186,0.915928198136787,966.0,158.0,1322.0,8062.0,0.9370733633078793,0.9851927471322246,0.0,0.028774738311767578
SkipGram_compact_dim64_win3,SkipGram,S7,4,within_feature,DT+LR,Fast2_WeightedSoft,0.40796417519450184,0.8582032736962314,0.9802871744950109,0.8584825234441603,0.9153505283490513,962.0,162.0,1328.0,8056.0,0.9378565734664591,0.9852918394562624,0.0,0.029574871063232422
SkipGram_compact_dim64_win3,SkipGram,S8,0,single,LR,-,0.37918925285339355,0.7581466395112016,0.6406491499227203,0.9880810488676997,0.7773089545241444,660.0,465.0,10.0,829.0,0.9043358495563502,0.7798991708667592,0.0,0.00020647048950195312
SkipGram_compact_dim64_win3,SkipGram,S8,0,single,KNN,-,0.6000000238418579,0.909877800407332,0.8447916666666667,0.966626936829559,0.9016120066703724,976.0,149.0,28.0,811.0,0.963417295722421,0.9251188037494983,0.0,0.018512487411499023
SkipGram_compact_dim64_win3,SkipGram,S8,0,single,DT,-,0.964713990688324,0.8915478615071283,0.8246887966804979,0.9475566150178785,0.8818635607321131,956.0,169.0,44.0,795.0,0.8988748510131108,0.8041392267581718,0.0,0.00017333030700683594
SkipGram_compact_dim64_win3,SkipGram,S8,0,single,RF,-,0.6879305243492133,0.9439918533604889,0.9146757679180887,0.9582836710369488,0.9359720605355064,1050.0,75.0,35.0,804.0,0.9867318235995234,0.9760069959165386,0.0,0.02360224723815918
SkipGram_compact_dim64_win3,SkipGram,S8,0,single,LinearSVC,-,0.6315107345581055,0.7606924643584522,0.6429124709527498,0.9892729439809297,0.7793427230046949,664.0,461.0,9.0,830.0,0.9585495960799895,0.9006965643835411,0.0,0.0009379386901855469
SkipGram_compact_dim64_win3,SkipGram,S8,0,within_feature,LR+KNN+DT+RF+LinearSVC,All_Hard,,0.9088594704684317,0.8353658536585366,0.9797377830750894,0.9018102029621503,963.0,162.0,17.0,822.0,,,0.0,0.04346299171447754
SkipGram_compact_dim64_win3,SkipGram,S8,0,within_feature,LR+KNN+DT+RF+LinearSVC,All_Soft,0.3190726459026338,0.8976578411405295,0.812133072407045,0.9892729439809297,0.891993551853842,933.0,192.0,9.0,830.0,0.9850626407098397,0.970196740497794,0.0,0.0736536979675293
SkipGram_compact_dim64_win3,SkipGram,S8,0,within_feature,LR+KNN+DT+RF+LinearSVC,All_WeightedSoft,0.3152557671070101,0.8991853360488798,0.8139079333986288,0.9904648390941597,0.8935483870967742,935.0,190.0,8.0,831.0,0.9858508806780559,0.9741390011232285,0.0,0.0729372501373291
SkipGram_compact_dim64_win3,SkipGram,S8,0,within_feature,RF+KNN,Best2_Hard,,0.9114052953156823,0.839632277834525,0.9797377830750894,0.9042904290429042,968.0,157.0,17.0,822.0,,,0.0,0.0421597957611084
SkipGram_compact_dim64_win3,SkipGram,S8,0,within_feature,RF+KNN,Best2_Soft,0.3565906882286072,0.9256619144602851,0.8762214983713354,0.9618593563766389,0.9170454545454545,1011.0,114.0,32.0,807.0,0.9851299165673422,0.9740944591679603,0.0,0.05464339256286621
SkipGram_compact_dim64_win3,SkipGram,S8,0,within_feature,RF+KNN,Best2_WeightedSoft,0.36430591344833374,0.9266802443991853,0.8789531079607416,0.9606674612634089,0.9179954441913439,1014.0,111.0,33.0,806.0,0.9851945437690371,0.9741731809135183,0.0,0.05472421646118164
SkipGram_compact_dim64_win3,SkipGram,S8,0,within_feature,DT+LR,Fast2_Hard,,0.730142566191446,0.6135194709772226,0.9952324195470799,0.759090909090909,599.0,526.0,4.0,835.0,,,0.0,0.00040841102600097656
SkipGram_compact_dim64_win3,SkipGram,S8,0,within_feature,DT+LR,Fast2_Soft,0.3417652249336243,0.8665987780040734,0.774500475737393,0.9702026221692491,0.8613756613756614,888.0,237.0,25.0,814.0,0.9655642961197193,0.9224258067161476,0.0,0.03198409080505371
SkipGram_compact_dim64_win3,SkipGram,S8,0,within_feature,DT+LR,Fast2_WeightedSoft,0.34022674560546895,0.8671079429735234,0.7747148288973384,0.9713945172824792,0.8619777895293496,888.0,237.0,24.0,815.0,0.9656744802012978,0.9225005893898834,0.0,0.030361652374267578
SkipGram_compact_dim64_win3,SkipGram,S8,1,single,LR,-,0.441606730222702,0.8126272912423625,0.6990701606086221,0.9856972586412396,0.8180019782393669,769.0,356.0,12.0,827.0,0.8976744802012978,0.7678824021537133,0.0,0.00022983551025390625
SkipGram_compact_dim64_win3,SkipGram,S8,1,single,KNN,-,0.4000000059604645,0.8864562118126272,0.8013698630136986,0.9761620977353993,0.8801719505642128,922.0,203.0,20.0,819.0,0.9669219970864786,0.9327903966915028,0.0,0.02276444435119629
SkipGram_compact_dim64_win3,SkipGram,S8,1,single,DT,-,0.901461660861969,0.9042769857433809,0.8437170010559663,0.9523241954707986,0.8947368421052632,977.0,148.0,40.0,799.0,0.9102211627598994,0.8247722121957783,0.0,0.0001697540283203125
SkipGram_compact_dim64_win3,SkipGram,S8,1,single,RF,-,0.6680000185966498,0.9404276985743381,0.9121004566210046,0.9523241954707986,0.9317784256559767,1048.0,77.0,40.0,799.0,0.9823779631836842,0.9623771409257372,0.0,0.04836082458496094
SkipGram_compact_dim64_win3,SkipGram,S8,1,single,LinearSVC,-,0.4794373810291291,0.7316700610997964,0.6148748159057438,0.9952324195470799,0.760127446517979,602.0,523.0,4.0,835.0,0.956884121308436,0.8959055911012693,0.0,0.0009093284606933594
SkipGram_compact_dim64_win3,SkipGram,S8,1,within_feature,LR+KNN+DT+RF+LinearSVC,All_Hard,,0.9032586558044806,0.8248248248248248,0.9821215733015495,0.8966267682263329,950.0,175.0,15.0,824.0,,,0.0,0.07246136665344238
SkipGram_compact_dim64_win3,SkipGram,S8,1,within_feature,LR+KNN+DT+RF+LinearSVC,All_Soft,0.40367944240570075,0.939918533604888,0.8939890710382513,0.9749702026221693,0.9327251995438997,1028.0,97.0,21.0,818.0,0.9811765329095484,0.9596582946869694,0.0,0.10264992713928223
SkipGram_compact_dim64_win3,SkipGram,S8,1,within_feature,LR+KNN+DT+RF+LinearSVC,All_WeightedSoft,0.403173750638962,0.9404276985743381,0.8958333333333334,0.9737783075089392,0.9331810394060537,1030.0,95.0,22.0,817.0,0.9815886637531452,0.9599960570079016,0.0,0.10261654853820801
SkipGram_compact_dim64_win3,SkipGram,S8,1,within_feature,RF+KNN,Best2_Hard,,0.889511201629328,0.8007736943907157,0.9868891537544696,0.8841430859583556,919.0,206.0,11.0,828.0,,,0.0,0.07115578651428223
SkipGram_compact_dim64_win3,SkipGram,S8,1,within_feature,RF+KNN,Best2_Soft,0.35803043842315674,0.9312627291242362,0.8876651982378855,0.9606674612634089,0.9227246708643388,1023.0,102.0,33.0,806.0,0.9824531850086081,0.963012869159166,0.0,0.08290743827819824
SkipGram_compact_dim64_win3,SkipGram,S8,1,within_feature,RF+KNN,Best2_WeightedSoft,0.36159437894821167,0.9317718940936863,0.8895027624309392,0.9594755661501788,0.9231651376146789,1025.0,100.0,34.0,805.0,0.9824870878029401,0.9630471635226053,0.0,0.08305835723876953
SkipGram_compact_dim64_win3,SkipGram,S8,1,within_feature,DT+LR,Fast2_Hard,,0.7932790224032586,0.676159479251424,0.9904648390941597,0.8036750483558994,727.0,398.0,8.0,831.0,,,0.0,0.00043010711669921875
SkipGram_compact_dim64_win3,SkipGram,S8,1,within_feature,DT+LR,Fast2_Soft,0.3428671061992645,0.879837067209776,0.7941463414634147,0.9702026221692491,0.8733905579399142,914.0,211.0,25.0,814.0,0.9555868096940803,0.8912639167882679,0.0,0.03136634826660156
SkipGram_compact_dim64_win3,SkipGram,S8,1,within_feature,DT+LR,Fast2_WeightedSoft,0.33901774287223824,0.880346232179226,0.7926356589147286,0.9749702026221693,0.8743987172634955,911.0,214.0,21.0,818.0,0.9556683882929414,0.8913483602053518,0.0,0.030083656311035156
SkipGram_compact_dim64_win3,SkipGram,S8,2,single,LR,-,0.28367912769317627,0.7214867617107943,0.606259097525473,0.9928486293206198,0.7528242205151379,584.0,541.0,6.0,833.0,0.8793563766388558,0.7371406788483383,0.0,0.00022602081298828125
SkipGram_compact_dim64_win3,SkipGram,S8,2,single,KNN,-,0.4000000059604645,0.8767820773930753,0.7867435158501441,0.9761620977353993,0.8712765957446809,903.0,222.0,20.0,819.0,0.9633637928751158,0.9243644998980625,0.0,0.022355318069458008
SkipGram_compact_dim64_win3,SkipGram,S8,2,single,DT,-,0.9158487319946289,0.8864562118126272,0.8208333333333333,0.9392133492252682,0.8760422456920511,953.0,172.0,51.0,788.0,0.8975648258508807,0.8029405770234402,0.0,0.00018644332885742188
SkipGram_compact_dim64_win3,SkipGram,S8,2,single,RF,-,0.675000011920929,0.9358452138492872,0.9001122334455668,0.9558998808104887,0.9271676300578034,1036.0,89.0,37.0,802.0,0.9843151900410542,0.9733065461709953,0.0,0.023235082626342773
