feature_id,family,system,name,ensemble,avg_f1,worst_f1,std_f1,avg_roc_auc,worst_roc_auc,std_roc_auc,avg_pr_auc,worst_pr_auc,std_pr_auc,avg_prec,avg_rec,avg_acc,worst_acc,std_acc,train_time,infer_time
LiWP_n2_minDf1_SPARSE,LiWP,within_feature,LR+LinearSVC,Fast2_WeightedSoft,0.7082641704178296,0.4356013109241667,0.21294074690810175,0.8406569175801812,0.5796863716612564,0.18370148886672233,0.891915004988866,0.7145084593029276,0.1198365278327957,0.853266311170545,0.6625957379583558,0.7119637245803472,0.5082899869960988,0.21089367711296134,0.0,0.03077172537644704
LiWP_n3_minDf1_SPARSE,LiWP,within_feature,LR+LinearSVC+KNN+DT+RF,All_Hard,0.7042736604925328,0.16016742998349429,0.2725630686773081,,,,,,,0.9287128997719248,0.6366716027839331,0.7201197324119943,0.22609526797605844,0.2478530683552214,0.0,12.489759230613709
SkipGram_compact_dim64_win3,SkipGram,single,LinearSVC,-,0.6993116562018284,0.4311928868561079,0.20119906962981737,0.8325773819940722,0.6161508221088474,0.13608983906009284,0.8887706327251649,0.7594956765296043,0.06036842939256001,0.7721036743660666,0.7376482159117982,0.6803419570233121,0.3853561738853495,0.2074029663728286,0.0,0.0014109373092651368
OpPhrase_unigram_only_dim128_win5,OpPhrase,within_feature,DT+LR,Fast2_Soft,0.6936273478677771,0.3261316972195637,0.1987122079434913,0.8499985901340087,0.6901822282942774,0.10243515341920129,0.8898870710130312,0.8233478889199768,0.052782249789535524,0.8463679249799232,0.6620693617099909,0.6882460801243789,0.30986451509887597,0.2092084798742728,0.0,0.03039880394935608
OpPhrase_unigram_topk_bigram_dim128_win5,OpPhrase,within_feature,DT+LR,Fast2_WeightedSoft,0.6933918854881054,0.3670856717935823,0.19358406233412181,0.8565992719744032,0.7314219847310917,0.08968607770501495,0.8923300073045134,0.827556863017706,0.05377850944994301,0.8506281024895317,0.6529541954524786,0.6891952278426406,0.33435457797124296,0.19883499788897807,0.0,0.03067588210105896
OpPhrase_unigram_only_dim128_win5,OpPhrase,within_feature,DT+LR,Fast2_WeightedSoft,0.693021968146465,0.33059798224131515,0.1992863652972172,0.8500574119503096,0.689963725104523,0.1023786505256556,0.8899056114471526,0.8232395010462561,0.052848750329224065,0.8486491571807152,0.6611438678403984,0.6877861763786631,0.3130379072289203,0.2092547976212865,0.0,0.03037167191505432
STACKING,STACK,stacking,LR_meta(LiWP:RF | SkipGram:RF | OpPhrase:RF | LiWP:RF | OpPhrase:RF | SkipGram:KNN),OOF_STACK_k6,0.6923159823256817,0.6923159823256817,,0.9407544444444444,0.9407544444444444,,0.9787193854965107,0.9787193854965107,,0.9795669411405916,0.5353333333333333,0.5992982456140351,0.5992982456140351,,0.0,0.2699403762817383
LiWP_n2_minDf1_SPARSE,LiWP,within_feature,LR+LinearSVC+KNN+DT+RF,All_Hard,0.6918447206617513,0.1691121575219996,0.27696678880942743,,,,,,,0.925324612892774,0.6247309214826204,0.7143462064581253,0.23095369443527242,0.2546936358190658,0.0,6.729999595880509
OpPhrase_unigram_topk_bigram_dim128_win5,OpPhrase,within_feature,DT+LR,Fast2_Soft,0.6891795996033653,0.3583517177385612,0.19456023914744244,0.856511730446247,0.7313779504138462,0.08994299442428497,0.8923381997355563,0.828151806443411,0.05363223795173107,0.8452351902051773,0.6485776233870624,0.6856256711016828,0.3284571806295644,0.1994398777620317,0.0,0.030819779634475707
OpPhrase_unigram_only_dim128_win5,OpPhrase,within_feature,RF+KNN,Best2_Soft,0.6883619318798219,0.29692574600908334,0.2603504651228012,0.9095870911495656,0.7685754654050367,0.07964320489485249,0.936044556512523,0.8413730445180251,0.04760859815460333,0.8946408462998503,0.62828213806901,0.7027016329919566,0.31638072597627537,0.23985186710267328,0.0,0.10781904608011246
OpPhrase_unigram_topk_bigram_dim128_win5,OpPhrase,within_feature,LR+KNN+DT+RF+LinearSVC,All_Soft,0.6856597224666344,0.30366997596887757,0.25313327395104873,0.8996189035482322,0.7730045566608268,0.079461569654986,0.9335050643352161,0.8776973164700761,0.04014632485782414,0.8958569684998484,0.624344738324147,0.6962087783797212,0.2996429512387096,0.24807167614842718,0.0,0.13045936822891235
OpPhrase_unigram_topk_bigram_dim128_win5,OpPhrase,within_feature,LR+KNN+DT+RF+LinearSVC,All_WeightedSoft,0.6856421630560466,0.30687456487671927,0.2544966164792292,0.9016189485242805,0.7769133068181646,0.07803817429694294,0.9347002744554201,0.8774857569910142,0.040331992354723185,0.8993813114202291,0.6218760481581794,0.6964521679336803,0.3017491682368886,0.24911539728281296,0.0,0.13041650056838988
OpPhrase_unigram_only_dim128_win5,OpPhrase,within_feature,RF+KNN,Best2_WeightedSoft,0.6856132816793792,0.29327482178764086,0.2625438124650572,0.9094974092138117,0.768366322293874,0.07984456246598923,0.9360156917457054,0.8408625972297085,0.04775337434077827,0.8954641926138416,0.6238712110163523,0.7006333209089487,0.3132636279821646,0.24176844404572193,0.0,0.10796439498662949
LiWP_n2_minDf1_SPARSE,LiWP,within_feature,LR+DT,Fast2_Soft,0.6849702807117336,0.26842630227019876,0.29161421177424157,0.9126754846953362,0.670687857855539,0.1112674971166889,0.9325802236709757,0.7887179188361333,0.07079804095230706,0.900448046523651,0.6230682828196935,0.72483182359245,0.3871578277529872,0.2580258073188755,0.0,0.030717124257768902
LiWP_n2_minDf1_SPARSE,LiWP,within_feature,LR+DT,Fast2_WeightedSoft,0.6846269423489607,0.26825335788907295,0.2927993077692445,0.9127105030339886,0.670551966233212,0.11135594117667823,0.9325667375945486,0.7884776301460129,0.0708886505806974,0.8985652036274538,0.6239025220678671,0.7246099688343538,0.38721397204409114,0.2588743627484297,0.0,0.03054519040243966
OpPhrase_unigram_topk_bigram_dim128_win5,OpPhrase,single,DT,-,0.6827811467942275,0.35361300246044286,0.2226856296923962,0.7547545241435089,0.5561296166926455,0.13527993677080571,0.8123772437272452,0.6748267657248305,0.09649001091168287,0.8624822040330121,0.6264525800979239,0.6866821980636331,0.3283170624548636,0.21610747041030282,0.0,0.00040946006774902346
OpPhrase_unigram_topk_bigram_dim128_win5,OpPhrase,single,RF,-,0.6827075955651889,0.24949911673755096,0.28245464109160034,0.9013047998606694,0.7619741707020637,0.0919340513853298,0.9312391570812851,0.802564705501231,0.05965010400601718,0.902399659123669,0.6188434544458765,0.701242811139865,0.30318211131284983,0.25504522466767854,0.0,0.03446629047393799
LiWP_n2_minDf1_SPARSE,LiWP,single,KNN,-,0.6823829115766168,0.17770024803915058,0.2617817856090645,0.8979678700220762,0.6456860253772596,0.10689204045310248,0.923308460957281,0.8849517121423677,0.04038628976959862,0.9076128909755632,0.6204368417000036,0.6991357957874769,0.23642968432575265,0.24296888719208676,0.0,6.696573883295059
OpPhrase_unigram_topk_bigram_dim128_win5,OpPhrase,within_feature,RF+KNN,Best2_Soft,0.6818257441177888,0.2528731811430882,0.26651261460672404,0.9128547045731094,0.7824508320325972,0.07606692689636091,0.9380834993885858,0.84269342154934,0.046759637924970204,0.8897385544579063,0.6215082680368945,0.6990986155875044,0.32474924067985017,0.24018723310005405,0.0,0.11020421087741851
