combo,fids,source,target,fold,system,n_participants,fusion,threshold_mode,acc,prec,rec,f1,tn,fp,fn,tp,roc_auc,pr_auc,fpr,threshold
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S7,fold1,cross_feature,3,Hard,val_f1,0.9528975164145018,0.9934495392472521,0.953537936913896,0.9730846609754772,1066,59,436,8948,0.9651361182154021,0.9924724870902506,0.052444444444444446,0.05
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S7,fold2,cross_feature,3,Soft,fixed_05,0.9397659149300599,0.9969335604770017,0.9354219948849105,0.9651987464951344,1098,27,606,8778,0.990267879132329,0.9980761484837353,0.024,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S7,fold2,cross_feature,3,Soft,val_f1,0.9792558759158816,0.9914218314389878,0.9852941176470589,0.9883484767504008,1045,80,138,9246,0.990267879132329,0.9980761484837353,0.07111111111111111,0.36999999999999994
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S7,fold2,cross_feature,3,WeightedSoft,fixed_05,0.9404320106575317,0.9969359963685883,0.9361679454390451,0.965596834469114,1098,27,599,8785,0.9903046319977266,0.9980843603353926,0.024,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S7,fold2,cross_feature,3,WeightedSoft,val_f1,0.9694547530687981,0.9934661875204182,0.9721867007672634,0.9827112619163031,1065,60,261,9123,0.9903046319977266,0.9980843603353926,0.05333333333333334,0.4049999999999999
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S7,fold2,cross_feature,3,Hard,fixed_05,0.9301551051479684,0.9970121811077913,0.9245524296675192,0.9594161229680416,1099,26,708,8676,0.9740667329733828,0.994403482698401,0.02311111111111111,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S7,fold2,cross_feature,3,Hard,val_f1,0.9646969264440004,0.992998577836123,0.9672847399829497,0.9799730094466936,1061,64,307,9077,0.9740667329733828,0.994403482698401,0.05688888888888889,0.05
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S7,fold3,cross_feature,3,Soft,fixed_05,0.8746788467028261,0.9972876340771791,0.861999147485081,0.9247213489568448,1103,22,1295,8089,0.98864658520413,0.9980104966171287,0.019555555555555555,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S7,fold3,cross_feature,3,Soft,val_f1,0.9802074412408411,0.9925917972943955,0.9851875532821824,0.9888758155952508,1056,69,139,9245,0.98864658520413,0.9980104966171287,0.06133333333333333,0.37499999999999994
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S7,fold3,cross_feature,3,WeightedSoft,fixed_05,0.8748691597678181,0.9972883027240231,0.8622122762148338,0.9248442590158313,1103,22,1293,8091,0.9886564364876385,0.9980128256388799,0.019555555555555555,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S7,fold3,cross_feature,3,WeightedSoft,val_f1,0.9802074412408411,0.9925917972943955,0.9851875532821824,0.9888758155952508,1056,69,139,9245,0.9886564364876385,0.9980128256388799,0.06133333333333333,0.37499999999999994
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S7,fold3,cross_feature,3,Hard,fixed_05,0.8762013512227614,0.9970483335383101,0.8639173060528559,0.9257208107336569,1101,24,1277,8107,0.9609652363360804,0.991598530274687,0.021333333333333333,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S7,fold3,cross_feature,3,Hard,val_f1,0.9455704634123132,0.9933930571108622,0.9453324808184144,0.9687670634487278,1066,59,513,8871,0.9609652363360804,0.991598530274687,0.052444444444444446,0.05
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S7,fold4,cross_feature,3,Soft,fixed_05,0.8320327369623144,0.9971290617251729,0.8142583120204604,0.896462720713322,1102,22,1743,7641,0.9874197164553583,0.9952434722869803,0.019572953736654804,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S7,fold4,cross_feature,3,Soft,val_f1,0.9821088694328131,0.994514949451495,0.9854006820119352,0.9899368375976876,1073,51,137,9247,0.9874197164553583,0.9952434722869803,0.045373665480427046,0.38499999999999995
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S7,fold4,cross_feature,3,WeightedSoft,fixed_05,0.8324133993148077,0.9971305595408895,0.8146845694799659,0.8967215999061638,1102,22,1739,7645,0.9874297661196616,0.9952438429421202,0.019572953736654804,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S7,fold4,cross_feature,3,WeightedSoft,val_f1,0.9821088694328131,0.994514949451495,0.9854006820119352,0.9899368375976876,1073,51,137,9247,0.9874297661196616,0.9952438429421202,0.045373665480427046,0.38499999999999995
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S7,fold4,cross_feature,3,Hard,fixed_05,0.8549676437000381,0.9972165991902834,0.8399403239556692,0.9118463674224896,1102,22,1502,7882,0.9457481197646939,0.9884295747519384,0.019572953736654804,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S7,fold4,cross_feature,3,Hard,val_f1,0.9165397792158355,0.9947656159125277,0.9113384484228474,0.9512262944218898,1079,45,832,8552,0.9457481197646939,0.9884295747519384,0.0400355871886121,0.05
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold0,cross_feature,3,Soft,fixed_05,0.9684317718940937,0.9755201958384333,0.9499404052443385,0.9625603864734299,1105,20,42,797,0.9938328698185671,0.9913338983992823,0.017777777777777778,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold0,cross_feature,3,Soft,val_f1,0.9531568228105907,0.9191919191919192,0.9761620977353993,0.9468208092485549,1053,72,20,819,0.9938328698185671,0.9913338983992823,0.064,0.3549999999999999
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold0,cross_feature,3,WeightedSoft,fixed_05,0.9684317718940937,0.9755201958384333,0.9499404052443385,0.9625603864734299,1105,20,42,797,0.9938455833664415,0.9913575038167631,0.017777777777777778,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold0,cross_feature,3,WeightedSoft,val_f1,0.9531568228105907,0.9191919191919192,0.9761620977353993,0.9468208092485549,1053,72,20,819,0.9938455833664415,0.9913575038167631,0.064,0.3549999999999999
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold0,cross_feature,3,Hard,fixed_05,0.9658859470468432,0.9753694581280788,0.9439809296781884,0.9594185342216839,1105,20,47,792,0.9759909945702556,0.9638036714325056,0.017777777777777778,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold0,cross_feature,3,Hard,val_f1,0.9638492871690427,0.9507042253521126,0.965435041716329,0.9580130100532229,1083,42,29,810,0.9759909945702556,0.9638036714325056,0.037333333333333336,0.05
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold1,cross_feature,3,Soft,fixed_05,0.9669042769857433,0.9742647058823529,0.9475566150178785,0.9607250755287009,1104,21,44,795,0.9921228976294529,0.9867846523318883,0.018666666666666668,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold1,cross_feature,3,Soft,val_f1,0.9577393075356415,0.9276018099547512,0.9773539928486293,0.9518282066163668,1061,64,19,820,0.9921228976294529,0.9867846523318883,0.05688888888888889,0.36499999999999994
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold1,cross_feature,3,WeightedSoft,fixed_05,0.9669042769857433,0.9742647058823529,0.9475566150178785,0.9607250755287009,1104,21,44,795,0.9921239570917759,0.9867879518551906,0.018666666666666668,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold1,cross_feature,3,WeightedSoft,val_f1,0.9587576374745418,0.9297052154195011,0.9773539928486293,0.9529343404997095,1063,62,19,820,0.9921239570917759,0.9867879518551906,0.05511111111111111,0.36499999999999994
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold1,cross_feature,3,Hard,fixed_05,0.9669042769857433,0.9754299754299754,0.9463647199046484,0.9606775559588627,1105,20,45,794,0.9761753410144353,0.9618823718880307,0.017777777777777778,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold1,cross_feature,3,Hard,val_f1,0.9587576374745418,0.9366359447004609,0.9690107270560191,0.9525483304042179,1070,55,26,813,0.9761753410144353,0.9618823718880307,0.04888888888888889,0.05
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold2,cross_feature,3,Soft,fixed_05,0.9663951120162932,0.9730722154222766,0.9475566150178785,0.9601449275362319,1103,22,44,795,0.9928894186200503,0.9892712789510543,0.019555555555555555,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold2,cross_feature,3,Soft,val_f1,0.9531568228105907,0.9163879598662207,0.9797377830750894,0.9470046082949308,1050,75,17,822,0.9928894186200503,0.9892712789510543,0.06666666666666667,0.3449999999999999
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold2,cross_feature,3,WeightedSoft,fixed_05,0.9663951120162932,0.9730722154222766,0.9475566150178785,0.9601449275362319,1103,22,44,795,0.9928957753939877,0.9892888388778811,0.019555555555555555,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold2,cross_feature,3,WeightedSoft,val_f1,0.9531568228105907,0.9163879598662207,0.9797377830750894,0.9470046082949308,1050,75,17,822,0.9928957753939877,0.9892888388778811,0.06666666666666667,0.3449999999999999
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold2,cross_feature,3,Hard,fixed_05,0.9638492871690427,0.9705882352941176,0.9439809296781884,0.9570996978851963,1101,24,47,792,0.9735584690769434,0.9590022345067903,0.021333333333333333,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold2,cross_feature,3,Hard,val_f1,0.9546843177189409,0.9320276497695853,0.964243146603099,0.9478617457527827,1066,59,30,809,0.9735584690769434,0.9590022345067903,0.052444444444444446,0.05
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold3,cross_feature,3,Soft,fixed_05,0.9643584521384929,0.976456009913259,0.9392133492252682,0.9574726609963548,1106,19,51,788,0.9922828764402065,0.9889294279622655,0.016888888888888887,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold3,cross_feature,3,Soft,val_f1,0.9592668024439919,0.9278466741826381,0.9809296781883194,0.9536500579374276,1061,64,16,823,0.9922828764402065,0.9889294279622655,0.05688888888888889,0.35999999999999993
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold3,cross_feature,3,WeightedSoft,fixed_05,0.9643584521384929,0.976456009913259,0.9392133492252682,0.9574726609963548,1106,19,51,788,0.9922807575155608,0.9889296354518023,0.016888888888888887,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold3,cross_feature,3,WeightedSoft,val_f1,0.9582484725050916,0.9257592800899888,0.9809296781883194,0.9525462962962963,1059,66,16,823,0.9922807575155608,0.9889296354518023,0.058666666666666666,0.3549999999999999
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold3,cross_feature,3,Hard,fixed_05,0.9633401221995926,0.9740420271940667,0.9392133492252682,0.9563106796116505,1104,21,51,788,0.9741607734074956,0.959971153133552,0.018666666666666668,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold3,cross_feature,3,Hard,val_f1,0.9618126272912424,0.9473067915690867,0.964243146603099,0.9556999409332546,1080,45,30,809,0.9741607734074956,0.959971153133552,0.04,0.05
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold4,cross_feature,3,Soft,fixed_05,0.9653591441670912,0.9788819875776398,0.9392133492252682,0.9586374695863747,1107,17,51,788,0.9920761243473207,0.9845950823440422,0.015124555160142349,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold4,cross_feature,3,Soft,val_f1,0.9673968415690269,0.9490150637311703,0.9761620977353993,0.9623971797884842,1080,44,20,819,0.9920761243473207,0.9845950823440422,0.03914590747330961,0.37499999999999994
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold4,cross_feature,3,WeightedSoft,fixed_05,0.9653591441670912,0.9788819875776398,0.9392133492252682,0.9586374695863747,1107,17,51,788,0.9920771847522258,0.9845758586439697,0.015124555160142349,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold4,cross_feature,3,WeightedSoft,val_f1,0.9673968415690269,0.9490150637311703,0.9761620977353993,0.9623971797884842,1080,44,20,819,0.9920771847522258,0.9845758586439697,0.03914590747330961,0.37499999999999994
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold4,cross_feature,3,Hard,fixed_05,0.9689251146204788,0.980246913580247,0.9463647199046484,0.9630078835657975,1108,16,45,794,0.9785130154098041,0.9657705682309282,0.014234875444839857,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_All_Soft,S8,fold4,cross_feature,3,Hard,val_f1,0.9653591441670912,0.9487776484284052,0.9713945172824792,0.9599528857479388,1080,44,24,815,0.9785130154098041,0.9657705682309282,0.03914590747330961,0.05
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold0,cross_feature,3,Soft,fixed_05,0.37215354586857513,0.6862745098039216,0.017957927142124165,0.035,1109,16,1914,35,0.8737317142694259,0.8578492292583728,0.014222222222222223,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold0,cross_feature,3,Soft,val_f1,0.38061158100195186,0.6451612903225806,0.051308363263211906,0.09505703422053231,1070,55,1849,100,0.8737317142694259,0.8578492292583728,0.04888888888888889,0.37999999999999995
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold0,cross_feature,3,WeightedSoft,fixed_05,0.3718282368249837,0.68,0.017444843509492047,0.03401700850425213,1109,16,1915,34,0.8769538794823557,0.8605406616865858,0.014222222222222223,0.5
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold0,cross_feature,3,WeightedSoft,val_f1,0.38418998048145736,0.6686746987951807,0.056952283222165216,0.1049645390070922,1070,55,1838,111,0.8769538794823557,0.8605406616865858,0.04888888888888889,0.37499999999999994
n2_n3_SG,LiWP_n2+LiWP_n3+SkipGram,ENS_Best2_Soft,S1,fold0,cross_feature,3,Hard,fixed_05,0.3718282368249837,0.6875,0.01693175987685993,0.033049574361542315,1110,15,1916,33,0.48683929080440114,0.6346292580142378,0.013333333333333334,0.5
