combo,source,fusion,threshold_mode,f1_mean,f1_std,prec_mean,rec_mean,roc_auc_mean,fpr_mean,threshold_mean,threshold_std
n2_n3_SG,ENS_Best2_Soft,Soft,fixed_05,0.4727014090559428,0.408927424927021,0.8583452902873538,0.41469009042064775,0.9327332948251161,0.014824377224199289,0.5,0.0
n2_n3_SG,ENS_Best2_Soft,WeightedSoft,fixed_05,0.47263035701563255,0.4089787039707777,0.8574725472785966,0.41464494037655364,0.9337076731279741,0.014868821668643733,0.5,0.0
n2_x_n3,ENS_Best2_Soft,Soft,fixed_05,0.4717520738579011,0.4116255699315509,0.8436358053805858,0.4141752449389268,0.9312708683176829,0.01273536971134836,0.5,0.0
n2_x_n3,ENS_Best2_Soft,WeightedSoft,fixed_05,0.47174926109810267,0.41161960433994293,0.8439549481555145,0.41416676043407136,0.9319286868922383,0.012713147489126136,0.5,0.0
n2_n3_SG,best_single,WeightedSoft,val_f1,0.8363439632548385,0.14834029822266406,0.9388310481702448,0.7852011144749482,0.950097666347672,0.09457194543297746,0.556125,0.09401641632428631
n2_n3_SG,best_single,Soft,val_f1,0.8353426900511522,0.148650436092395,0.9379781478356566,0.7845816487482413,0.9493883726316673,0.09639487939897193,0.5544999999999999,0.0906302717299587
n2_x_SG,best_single,WeightedSoft,val_f1,0.832508980681905,0.16362713716689292,0.9315381908401956,0.7908505193755455,0.940903876339777,0.11800274812178727,0.5651249999999999,0.11258323131958405
n2_x_SG,best_single,Soft,val_f1,0.8319374477096877,0.16398676481982466,0.9309013242561065,0.7905301467374012,0.9401013768555921,0.12015826413602215,0.5606249999999999,0.12015047990130052
n3_x_SG,best_single,Hard,val_f1,0.8251729159617283,0.19095021288831768,0.9225228052530567,0.7946004492981087,0.8827192442045421,0.14079996045867932,0.39124999999999993,0.1995306993923491
n3_x_SG,best_single,Soft,val_f1,0.8215282272832708,0.1859512506706418,0.9348617586303808,0.7745815360757878,0.9459792315009631,0.09234932779754844,0.5607499999999999,0.09510149773686467
n3_x_SG,best_single,WeightedSoft,val_f1,0.8183101042329632,0.19222994171454003,0.9351717517468113,0.7716235806811204,0.9471928318454242,0.09019280347963622,0.5619999999999999,0.09154514088968796
n2_x_n3,best_single,WeightedSoft,val_f1,0.8052819149360525,0.19192771678578013,0.9322360405615692,0.7574150657974528,0.9557396631819334,0.14986925662317122,0.5203749999999999,0.12752771192055593
n2_x_n3,best_single,Soft,val_f1,0.8043836764778755,0.19528910015158576,0.9326745463916506,0.7568901063871541,0.9556845189934504,0.14964671807038354,0.5207499999999999,0.1276541300666646
n2_n3_SG,best_single,Hard,val_f1,0.7868562162360603,0.24605040641054776,0.9221890099878687,0.7633931261415854,0.8923322167791679,0.15039701463028865,0.425,0.2127656710309038
